pos_idx,frame_idx,u_px,v_px,depth_m_corrected,confidence,x_old,y_old,z_old,x_cal,y_cal,z_cal
1,0,1068.088,376.647,0.383,0.95,0.710,-0.015,0.119,0.710,-0.015,0.119
1,1,1067.591,376.520,0.368,0.95,0.695,-0.014,0.116,0.695,-0.014,0.116
1,2,1067.917,376.653,0.380,0.95,0.707,-0.015,0.119,0.707,-0.015,0.119
1,3,1068.218,376.674,0.382,0.94,0.709,-0.015,0.119,0.709,-0.015,0.119
1,4,1067.840,376.685,0.386,0.94,0.713,-0.015,0.120,0.713,-0.015,0.120
1,5,1067.911,376.620,0.384,0.94,0.711,-0.015,0.120,0.711,-0.015,0.120
1,6,1067.578,376.556,0.379,0.94,0.706,-0.014,0.118,0.706,-0.014,0.118
1,7,1067.578,376.493,0.375,0.95,0.702,-0.014,0.118,0.702,-0.014,0.118
1,8,1068.107,376.791,0.381,0.94,0.708,-0.015,0.119,0.708,-0.015,0.119
1,9,1068.171,376.770,0.385,0.94,0.712,-0.015,0.120,0.712,-0.015,0.120
